Abstraction;Africa;Agro-Ecology;Agro-Forestry;Agro-System;Agronomy;Arid Or Semi-Arid Zone;Cartography And Mapping;Comparative Approach;Complex System;Desertification;Erosion;Farming Practice;Gender;Geography (Social);Information System;integrative Approach;Land Degradation;land Use;landcover;landscape;Maghreb;MODELLING;modelling (Co-);modelling (Complex System);modelling (Conceptual);modelling (Integrated);modelling (Interdisciplinary);monitoring (Socio-Environmental);MULTIDISCIPLINARY;observatory;risk Assessment;Rural Zone;Rural-Urban Linkage;Sahel;SDG 02 (Sust. Devel. Goal - Alimentation);SDG 10 (Sust. Devel. Goal - World Equity);SDG 15 (Sust. Devel. Goal - Terrestrial Ecosystems);Social Inclusion;socio-Ecological Scenario;southern Mediterranean;spatial Dynamics;Systems Science;Territorial Transition;territory;Tourism Development;UMR Espace-Dev (Space For Devel.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abstraction;Antibiotic Resistance;Asymptomatic Infection;Biology (Computational);Biology (Evolutionary);Burkina-Faso;Cameroon;Central African Republic;Community (Bacteria);Complex System;Computational Sustainability;Computer Science;Control And Prevention Strategy;Data (Healthcare);Data Analysis;Data Processing;Decision Making Theory;Decision Support Tool;Deterministic Approach;Differential Equation;Discretization;Disease Incidence (Epidemiology);Dynamical System;Ecology (Evolutionary);Ecology (Quantitative);Ecosystem Dynamics;Epidemic Spread;Epidemiology;Epidemiology (Evolutive);Epigenomics;Expertise (Scientific);Gender;Health Policy;Hepatitis B;HIV - AIDS Infection;Infectious Disease;Ivermectine (Medication);Life History Trait;Local Adaptation;Malaria;Mathematics;Mathematics (Applied);Maximum Likelihood Estimation;Model (Agent-Based);Model (Birth-Death);Model (Flow Propagation);Model (Individual-Based);Model (Mathematical);Model (Nested);Model (Numerical);Model (Predator-Prey);Model (Reaction-Diffusion);Model (Spatially Explicit);Model Coupling;Model GLM (General Linearized Model);Model SIR (Susceptible Infected Recovered);MODELLING;Modelling (Agent-Based And Or Individual-Based);Modelling (Behaviour);Modelling (Calibration);Modelling (Co-);Modelling (Complex System);Modelling (Conceptual);Modelling (Ecological);Modelling (Epidemics);Modelling (Habitat, Ecology);Modelling (Human-In-The-Loop);Modelling (Interdisciplinary);Modelling (Mathematical);Modelling (Predictive);Modelling (Survival Analysis);Modelling (Validation);Multi Strain Epidemic;Multi-Agent System;Multi-Model Coupling (MMC);Multi-Scale (Spatial And Temporal);Multi-Scale (Spatial);Multi-Scale (Temporal And Functional);Multidimensional Scaling;MULTIDISCIPLINARY;Non Linear Dynamics;OneHealth - EcoHealth;Open Science;Open Source;Optimal Control (Mathematics);Optimization;Ouagadougou (Burkina-Faso);Parallel And Distributed Computing;Phenotype;Plant-Pathogen Coevolution;Plasmodium_falciparum;Popularization (Fr: Vulgarisation);Population Dynamics;Population Genetics;Prevalence Focus (Epidemiology);Prevention (Health);Probability Distribution;Public Health;R Programming;Resistance Gene;Resistance Transmission (Epidemiology);Risk (Health);Schistosomiasis (Snail Fever, Bilharzia);SDG 03 (Sust. Devel. Goal - Health And Well-Being);Senegal;Simulation;South-East Asia;Spatial Dynamics;Sustainability Science;Sustainable Management;Topology (Mathematics);Training (Fr: Formation);Tropical Endemics;UMR MIVEGEC (Infectious Diseases And Vectors);Vaccination;Vector-Borne Disease;Vietnam;Viral Infection;West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abstraction;artificial intelligence;biological invasion;capacity building;climate adaptation;climate change impacts;collective behaviour;complex system;Complexity Science;computational intelligence;Computational Sociology;computational sustainability;computer graphics;computer science;concurrent computing;data analysis;data assimilation;data collection;data driven approach;data visualization;decision support tool;dengue fever;development (software architecture);downscaling (modelling);dynamical system;educational game;extreme event;flood (fr: crue ou inondation);GAMA platform;geographic information science;geomatics;GIS (Geogr. Inform. Sys.);High Performance Computing (HPC);human subjects protection;Information Technology (IT);integrative approach;IT project management;knowledge representation;land use;Mekong river;model (agent-based);model (agro-hydrological);model (hybrid);model (individual-based);model (numerical);model (operational);model (predator-prey);model (spatially explicit);model coupling;model DEM (Digital Elevation Model);MODELLING;modelling (agent-based and or individual-based);modelling (behaviour);modelling (calibration);modelling (co-);modelling (companion);modelling (complex system);modelling (conceptual);modelling (epidemics);modelling (human-in-the-loop);modelling (integrated);modelling (interdisciplinary);modelling (mathematical);modelling (multi-scale);modelling (predictive);modelling (validation);monitoring (environmental);monitoring (socio-environmental);multi-agent system;multi-model coupling (MMC);multi-scale (functional);multi-scale (spatial and temporal);multi-scale (spatial);multi-scale (temporal and functional);MULTIDISCIPLINARY;natural hazard;observatory;open science;open source;operational research;parallel and distributed computing;participatory mapping;population dynamics;population evacuation;risk (environmental);risk assessment;river;Sci. administration and management;SDG 03 (Sust. Devel. Goal - Health and well-being);SDG 04 (Sust. Devel. Goal - Education);SDG 11 (Sust. Devel. Goal - Cities);SDG 13 (Sust. Devel. Goal - Climate);SDG 15 (Sust. Devel. Goal - Terrestrial ecosystems);SDG 16 (Sust. Devel. Goal - Society);serious game;simulation;simulation (cities);simulation (social);social insects;socio-ecological scenario;socio-ecosystem;software engineering;South-East Asia;spatial analysis;spatial dynamics;sustainability science;sustainable management;systemic approach;Systems science;teaching in computer science;training (fr: formation);UMI UMMISCO (Math. Comput. Model. Complex Syst.);urban computing;Vietnam;virtual reality; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abstraction; Algorithmics;Archipelago;Atmosphere;Biochemistry;Biomass (Ocean);Capacity Building;Carbon Cycle;Cartography And Mapping;Chlorophyll;Climate Adaptation;Climate Change Impacts;Climate-Society Interaction;Coastal Processes;Colored Dissolved Organic Matter (CDOM);Computer Science;Coral Reef;Cyanobacteria;Data (Optical);Data (Satellite);Data Analysis;Data Processing;Database Engineering;Diazotrophy (Nitrogen Fixation);Ecology (Marine);Ecosystem (Lagoon Or Reef);Ecosystem (Marine);Ecosystem (Tropical Pelagic);Ecosystem Dynamics;Environment (Island);Environment (Marine);Fiji Islands;Image Processing;Indicator (Biological);Integrative Approach;Island Country;Lagoon;Multi-Spectral Image;New Caledonia;Observatory;Ocean Water Colour;Oceanography (Biological);Organic Matter;Plankton;Plankton (Phyto);Planktonic Bloom (FR: Efflorescence);Remote Sensing;Research Cruise;Satellite Product;SDG 13 (Sust. Devel. Goal - Climate);SDG 14 (Sust. Devel. Goal - Oceans);South Western Tropical Pacific Ocean;Spatial Analysis;Spectro-Fluorescence;Spectrofluorimetry;Statistics (Spatial);Trichodesmium (Cyanobacteria);Turbidity;UMR MIO (Mediter. Inst. Oceanogr.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acoustic Diversity;Acoustic Niche Hypothesis;Acoustics (Passive);Animal Community;Artificial Intelligence;Artificial Neural Network;Big Data;Biodiversity;Biodiversity (Anthropogenic Influence);Biodiversity (Conservation);Biodiversity (Functional);Biodiversity (Hotspot);Biodiversity (Island);Biogeography;Bioinformatics;Biological Invasion;Biology (Computational);Biometrics;Canopy (Forest);Computer Science;Connectivity;Conservation Biology;Data (Acoustics);Data (Qualitative);Data Analysis;Data Cleaning;Data Clustering;Data Collection;Data Conservation;Data Curation;Data Infrastructure;Data Management;Data Management Plan;Data Mining;Data Quality Assessment;Data Sharing;Data Visualization;Database Management System (DBMS);Disturbance Analysis;Ecology (Behavioural);Ecology (Evolutionary);Ecology (Forest);Ecology (Landscape);Ecology (Quantitative);Ecology (Soundscape);Ecology (Terrestrial);Ecosystem Dynamics;Indicator (Biological);Modelling (Ecological);Modelling (Statistical);Monitoring (Environmental);Multi-Scale (Spatial And Temporal);New Caledonia;Phenology (Forest);Phylogenetics;Population Dynamics;R Programming;Remote Sensing;SDG 15 (Sust. Devel. Goal - Terrestrial Ecosystems);Sound Library (Fr: Sonothèque);UMR IMBE (Medit. Inst. Mar. Terrestr. Biodiv. Ecol.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acoustics (Active);Acoustics (Passive);Aggregation (Spatial);Algorithmics;Animal Community;Artificial Intelligence;Artificial Neural Network;Artisanal Fishery;Atlantic Ocean (Intertropical);Behaviour (Fish);Behaviour (Fishermen);Biodiversity;Biodiversity (Anthropogenic Influence);Biodiversity (Conservation);Biodiversity (Hotspot);Biodiversity (Marine);Biology (Computational);Biology (Marine);Biomass (Ocean);Biostatistics;Bycatch And Discard (Fisheries);Capacity Building;Catchability;Central East Atlantic Ocean;Chlorophyll;Climate Adaptation;Climate Change Impacts;Collective Behaviour;Complex System;Computer Science;Conservation Biology;Data (Acoustics);Data (Environmental, Socio-Ecological);Data (Fisheries);Data (Multisource);Data (Qualitative);Data (Satellite);Data Analysis;Data Assimilation;Data Collection;Data Curation;Data Dissemination;Data Driven Approach;Data Heterogeneity;Data Integration;Data Interoperability;Data Management;Data Management Plan;Data Mining;Data Poor Context;Data Preprocessing;Data Processing;Data Quality Assessment;Data Reanalysis;DATA SCIENCE;Data Sharing;Decision Support Tool;Differential Equation;Dynamical System;EAF (Ecosystem Approach To Fisheries);Ecology (Behavioural);Ecology (Fisheries);Ecology (Marine);Ecology (Quantitative);Ecosystem (Aquatic);Ecosystem (Marine);Ecosystem (Tropical Pelagic);Ecosystem Service;Elasmobranchii (Sharks And Rays);Electronic Tagging;Endangered, Threatened, Protected Species (ETP);Environment (Marine);Experimental Validation;Expertise (Scientific);FAD (Fish Aggregating Device);Fisheries Acoustics;Fisheries Management;Fisheries Resource;Fisheries Science (Fr: Halieutique);Global Change Impact;Habitat (Marine);Impact Assesment (Fisheries);Indian Ocean;Indicator (Biological);Indicator (Environmental);Indicator (Socio-Environmental);Indonesia;Ivory Coast;Machine - Deep Learning;Maldives;Mitigation Measure;Model (Agent-Based);Model (Individual-Based);Model (Mathematical);Model (Numerical);Model (Operational);Model (Spatially Explicit);MODELLING;Modelling (Behaviour);Modelling (Complex System);Modelling (Ecological);Modelling (Habitat, Ecology);Modelling (Stochastic Processes);Mozambique Channel;Multi-Agent System;Multi-Scale (Spatial And Temporal);Natural Resource Management;Non Linear Dynamics;Observers Program (Fisheries);Pelagic Fish;Population Dynamics;Purse Seine Fishery;Quantum Mechanics;R Programming;Random Decision Forest;Remote Sensing;RFMO (Regional Fisheries Management Organisation);SDG 14 (Sust. Devel. Goal - Oceans);Selectivity (Fishing Gear);Simulation;Simulation (Monte-Carlo);South Western Indian Ocean;South-East Asia;Spatial Dynamics;Statistical Mechanics;Stock Assessment;Sustainability (Fisheries);Sustainability Science;Sustainable Management;Tuna Fisheries;Ultrasonic Telemetry;UMR MARBEC (MAR. Biodiv. Exploit. Conserv.);Vulnerability;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acoustics (Active);Aggregation (Spatial);Animal Community;Atlantic Ocean;Behaviour (Fishermen);Biodiversity;Biogeography;Biostatistics;Cartography And Mapping;Classification - Typology;Collective Behaviour;Data (Acoustics);Data (Fisheries);Data (Georeferenced);Data (Qualitative);Data Analysis;Data Driven Approach;Demersal Fish Species;Discretization;EAF (Ecosystem Approach To Fisheries);Echo-Integration;Ecology (Behavioural);Ecology (Fisheries);Ecology (Marine);Ecology (Niche);Ecology (Quantitative);Ecosystem (Aquatic);Ecosystem (Marine);Ecosystem (Tropical Pelagic);Ecosystem Dynamics;Ecosystem Processes;Expertise (Scientific);Fisheries Acoustics;Fisheries Management;Fisheries Resource;Fisheries Science (Fr: Halieutique);Fishing Strategy Analysis;Forage Tracking;Geostatistics;Global Ocean;Graph Theory;Indian Ocean;Indicator (Biological);Indicator (Dashboard);Interpolation;Inverse Problem;Mathematics;Mediterranean Sea;Model (Mathematical);Model (Spatially Explicit);MODELLING;Modelling (Bayesian);Modelling (Habitat, Ecology);Modelling (Inferential);Modelling (Predictive);Modelling (Statistical);Modelling (Stochastic Processes);Multi-Scale (Spatial And Temporal);Multi-Scale (Spatial);MULTIDISCIPLINARY;Multivariate Data Analysis (MVA);Nonparametric Statistics;Pelagic Fish;Population Dynamics;Probability Distribution;Probability Theory;R Programming;Remote Sensing;Renewable Resource;Risk Assessment;SDG 02 (Sust. Devel. Goal - Alimentation);SDG 14 (Sust. Devel. Goal - Oceans);SFDS (French Soc. Statistics);Simulation;Simulation (Monte-Carlo);Spatial Analysis;Spatial Dynamics;Statistics;Statistics (Spatial);Stock Assessment;Time Series;Training (Fr: Formation);Tuna Fisheries;UMR MARBEC (MAR. Biodiv. Exploit. Conserv.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acoustics (Active);Anthropogenic Impact;Artisanal Fishery;Atlantic Ocean (Intertropical);Behaviour (Fish);Biogeography;Biology (Marine);Biomass (Ocean);Bissau Guinea;Capacity Building;Catchability;Central East Atlantic Ocean;Climate Adaptation;Climate Change Impacts;Climate-Society Interaction;Coastal Processes;Data (Acoustics);Data (Environmental, Socio-Ecological);Data (Fisheries);Data (Multisource);Data (Optical);Data (Satellite);Data Collection;Data Management;Data Poor Context;Diel Migration (Mar. Biol.);Domestication;EAF (Ecosystem Approach To Fisheries);Echo-Integration;Ecology (Behavioural);Ecology (Fisheries);Ecology (Marine);Ecosystem (Aquatic);Ecosystem (Coastal);Ecosystem (Marine);Ecosystem (Tropical Pelagic);Ecosystem Dynamics;Ecosystem Processes;Environment (Marine);Estuary;FAD (Fish Aggregating Device);Fisheries Acoustics;Fisheries Management;Fisheries Resource;Fisheries Science (Fr: Halieutique);Fishermen Community;Fishes;Governance;Habitat (Marine);Image Processing;Impact Assesment (Fisheries);Indicator (Environmental);Integrative Approach;Marine Protected Area (MPA);Mauritania Islamic Rep.;Modelling (Conceptual);Monitoring (Environmental);Monitoring (Socio-Environmental);Multibeam Sonar Detection;MULTIDISCIPLINARY;Observatory;Observers Program (Fisheries);Oceanography (Biological);Pelagic Fish;Planktonic Bloom (FR: Efflorescence);Population Dynamics;Remote Sensing;SDG 01 (Sust. Devel. Goal - Poverty);SDG 02 (Sust. Devel. Goal - Alimentation);SDG 13 (Sust. Devel. Goal - Climate);SDG 14 (Sust. Devel. Goal - Oceans);Senegal;Socio-Ecosystem;Sustainability (Fisheries);Sustainability Science;UMR LEMAR (Mar. Environ. Sci. Lab.);Upwelling;Water Quality;West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acoustics (Active);Atlantic Ocean;Atlantic Ocean (Intertropical);Biocoenosis;Biodiversity (Marine);Brazil;Carbon Cycle;Classification - Typology;Data (Acoustics);Data Analysis;Data Processing;Diel Migration (Mar. Biol.);Echo-Integration;Ecology (Fisheries);Ecology (Marine);Ecosystem (Aquatic);Ecosystem (Marine);Ecosystem (Tropical Pelagic);Ecosystem Dynamics;Ecosystem Processes;Environment (Marine);Estuary;Field Sampling (Fr: Échantillonnage);Fisheries Acoustics;Indian Ocean;Inverse Problem;Lake;Marine Protected Area (MPA);Micronekton (Marine Org.);Monitoring (Environmental);Mozambique Channel;Multi-Scale (Spatial);Multi-Sensor Approach;Multibeam Sonar Detection;Nekton (Marine Org.);New Caledonia;Nordeste (Brazil);Oceanography;Oceanography (Biological);Pacific Ocean (Inter-Tropical);Pelagic Fish;Plankton;Plankton (Zoo);Research Cruise;Scattering;Sci. Administration And Management;SDG 14 (Sust. Devel. Goal - Oceans);Seamount;Senegal;sonar;spatial Dynamics;training (Fr: Formation);UMR LEMAR (Mar. Environ. Sci. Lab.);upwelling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adaptive Management;Animal Community;Arid Or Semi-Arid Zone;Artisanal Fishery;Atlantic Ocean;Atlantic Ocean (Intertropical);Behaviour (Fish);Behaviour (Fishermen);Bioinformatics;Biological Invasion;Biology (Computational);Classification - Typology;Collective Behaviour;Comparative Approach;Complex System;Computer Science;Database Engineering;Demersal Fish Species;Deterministic Approach;dynamical System;EAF (Ecosystem Approach To Fisheries);Ecology (Fisheries);Ecology (Landscape);Ecology (Marine);Ecology (Quantitative);Ecology (Terrestrial);ecosystem (Aquatic);ecosystem (Marine);ecosystem (Tropical Pelagic);ecosystem Dynamics;ecosystem Processes;environment;environment (Marine);Epidemiology;fisheries Management;fisheries Resource;Fisheries Science (Fr: Halieutique);fishermen Community;Guinea Rep.;indicator (Biological);information Processing;information System;integrative Approach;knowledge Representation;landcover;landscape;model (Agent-Based);model (End-To-End);model (Nested);model (Numerical);model (Spatially Explicit);model Coupling;MODELLING;modelling (Behaviour);modelling (Complex System);modelling (Ecological);modelling (Epidemics);Modelling (Habitat/Ecology);modelling (Integrated);modelling (Interdisciplinary);modelling (Multi-Scale);modelling (Validation);multi-Agent System;multi-Scale (Functional);multi-Scale (Spatial And Temporal);multi-Scale (Spatial);multi-Scale (Temporal And Functional);MULTIDISCIPLINARY;Myomorpha (Mice, Rats,Etc.);non Linear Dynamics;observatory;OneHealth - EcoHealth;open Source;pelagic Fish;population Dynamics;quality Assurance (ISO 9001 Standard);renewable Resource;resource Use;Sahel;SDG 04 (Sust. Devel. Goal - Education);SDG 14 (Sust. Devel. Goal - Oceans);SDG 15 (Sust. Devel. Goal - Terrestrial Ecosystems);Senegal;simulation;simulation (Social);socio-Ecological Scenario;software Engineering;sustainability (Fisheries);systemic Approach;Systems Science;training (Fr: Formation);UMR CBGP (Biol. Manag. Pop.);UMR Entropie (Tropic. Mar. Ecol. Pacific Indian Oceans);upwelling;Web Portal Devel.;West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
African Rice;Agriculture;Agro-Ecology;Agronomy;Anthropogenic Impact;Bioinformatics;Biological Invasion;Biology (Evolutionary);Burkina-Faso;Cereal Crop;Data (Genetics);Data (Georeferenced);Data Management Plan;data Mining;DNA Sequencing;East Africa;Ecology (Niche);Ecuador;epidemic Spread;Epidemiology;Epidemiology (Evolutive);genome Sequencing;genomics;genomics (Evolutive);integrative Approach;MCMC (Markov Chain Monte-Carlo);metagenomics;Microbiology;microbiome;MODELLING;modelling (Bayesian);modelling (Epidemics);Molecular Biology;molecular Dating (Evolutionary Biology);MULTIDISCIPLINARY;NGS (Next Generation Sequencing);Ouagadougou (Burkina-Faso);Phylogenetics;plant-Pathogen Coevolution;population Genetics;resistance Gene;rice;Rice Yellow Mottle Virus (RYMV);SDG 02 (Sust. Devel. Goal - Alimentation);South America;Togo;UMR PHIM (Plant Health Institute Of Montpellier);viral Infection;Virology;West Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
